,Active Players,Age,Pos.,Status,Adj. Salary
11974,Mauricio Dubon,27,CF,Pre-Arb,"$565,776"
11975,Alfonso Rivas,25,1B,Pre-Arb,"$562,684"
11976,Yency Almonte,28,RP,Pre-Arb,"$561,516"
11977,Jose Azocar,26,OF,Pre-Arb,"$561,516"
11978,Spenser Watkins,29,SP,Pre-Arb,"$557,670"
11979,Andres Machado,29,RP,Pre-Arb,"$552,522"
11980,Reiver Sanmartin,26,RP,Pre-Arb,"$549,978"
11981,Michael Rucker,28,RP,Pre-Arb,"$548,120"
11982,Andrew Wantz,26,RP,Pre-Arb,"$546,132"
11983,Tyler Heineman,31,C,Pre-Arb,"$546,132"
11984,Christopher Morel,23,CF,Pre-Arb,"$542,286"
11985,Brian Serven,27,C,Pre-Arb,"$542,286"
11986,Lars Nootbaar,24,OF,Pre-Arb,"$538,625"
11987,Brandon Hughes,26,RP/CL,Pre-Arb,"$538,440"
11988,Jose Suarez,24,SP,Pre-Arb,"$538,016"
11989,Ehire Adrianza,32,SS,Vet,"$535,730"
11990,Nick Mears,25,RP,Pre-Arb,"$534,612"
11991,Diego Castillo,28,2B,Pre-Arb,"$534,594"
11992,Jake McCarthy,24,OF,Pre-Arb,"$528,683"
